original,head
"Estimators, valuers and assessors",Associate Professional and Technical Occupations
Brokers,Associate Professional and Technical Occupations
Insurance underwriters,Associate Professional and Technical Occupations
Finance and investment analysts/advisers,Associate Professional and Technical Occupations
Taxation experts,Associate Professional and Technical Occupations
"Importers, exporters",Associate Professional and Technical Occupations
Financial and accounting technicians,Associate Professional and Technical Occupations
Business and related associate professionals n.e.c.,Associate Professional and Technical Occupations
Sales And Related Associate Professionals,Associate Professional and Technical Occupations
Buyers and purchasing officers,Associate Professional and Technical Occupations
Sales representatives,Associate Professional and Technical Occupations
Marketing associate professionals,Associate Professional and Technical Occupations
"Estate agents, auctioneers",Associate Professional and Technical Occupations
Conservation Associate Professionals,Associate Professional and Technical Occupations
Conservation and environmental protection officers,Associate Professional and Technical Occupations
Countryside and park rangers,Associate Professional and Technical Occupations
Public Service And Other Associate Professionals,Associate Professional and Technical Occupations
Public service associate professionals,Associate Professional and Technical Occupations
Personnel and industrial relations officers,Associate Professional and Technical Occupations
Vocational and industrial trainers and instructors,Associate Professional and Technical Occupations
Careers advisers and vocational guidance specialists,Associate Professional and Technical Occupations
"Inspectors of factories, utilities and trading standards",Associate Professional and Technical Occupations
Statutory examiners,Associate Professional and Technical Occupations
Occupational hygienists and safety officers (health and safety),Associate Professional and Technical Occupations
Environmental health officers,Associate Professional and Technical Occupations
Administrative and Secretarial Occupations,Administrative and Secretarial Occupations
Administrative Occupations,Administrative and Secretarial Occupations
Administrative Occupations: Government And Related Organisations,Administrative and Secretarial Occupations
Civil Service executive officers,Administrative and Secretarial Occupations
Civil Service administrative officers and assistants,Administrative and Secretarial Occupations
Local government clerical officers and assistants,Administrative and Secretarial Occupations
Officers of nongovernmental organisations,Administrative and Secretarial Occupations
Administrative Occupations: Finance,Administrative and Secretarial Occupations
Credit controllers,Administrative and Secretarial Occupations
"Accounts and wages clerks, bookkeepers, other financial clerks",Administrative and Secretarial Occupations
Counter clerks,Administrative and Secretarial Occupations
Administrative Occupations: Records,Administrative and Secretarial Occupations
Filing and other records assistants/clerks,Administrative and Secretarial Occupations
Pensions and insurance clerks,Administrative and Secretarial Occupations
Stock control clerks,Administrative and Secretarial Occupations
Transport and distribution clerks,Administrative and Secretarial Occupations
Library assistants/clerks,Administrative and Secretarial Occupations
Database assistants/clerks,Administrative and Secretarial Occupations
Market research interviewers,Administrative and Secretarial Occupations
Administrative Occupations: Communications,Administrative and Secretarial Occupations
Telephonists,Administrative and Secretarial Occupations
Communication operators,Administrative and Secretarial Occupations
Administrative Occupations: General,Administrative and Secretarial Occupations
General office assistants/clerks,Administrative and Secretarial Occupations
Secretarial And Related Occupations,Administrative and Secretarial Occupations
Secretarial And Related Occupations,Administrative and Secretarial Occupations
Medical secretaries,Administrative and Secretarial Occupations
Legal secretaries,Administrative and Secretarial Occupations
School secretaries,Administrative and Secretarial Occupations
Company secretaries,Administrative and Secretarial Occupations
Personal assistants and other secretaries,Administrative and Secretarial Occupations
Receptionists,Administrative and Secretarial Occupations
Typists,Administrative and Secretarial Occupations
Skilled Trades Occupations,Skilled Trades Occupations
Skilled Agricultural Trades,Skilled Trades Occupations
Agricultural Trades,Skilled Trades Occupations
Farmers,Skilled Trades Occupations
Horticultural trades,Skilled Trades Occupations
Gardeners and groundsmen/groundswomen,Skilled Trades Occupations
Agricultural and fishing trades n.e.c.,Skilled Trades Occupations
Skilled Metal And Electrical Trades,Skilled Trades Occupations
"Metal Forming, Welding And Related Trades",Skilled Trades Occupations
Smiths and forge workers,Skilled Trades Occupations
"Moulders, core makers, die casters",Skilled Trades Occupations
Sheet metal workers,Skilled Trades Occupations
"Metal plate workers, shipwrights, riveters",Skilled Trades Occupations
Welding trades,Skilled Trades Occupations
Pipe fitters,Skilled Trades Occupations
"Metal Machining, Fitting And Instrument Making Trades",Skilled Trades Occupations
Metal machining setters and setteroperators,Skilled Trades Occupations
"Tool makers, tool fitters and markersout",Skilled Trades Occupations
Metal working production and maintenance fitters,Skilled Trades Occupations
Precision instrument makers and repairers,Skilled Trades Occupations
Vehicle Trades,Skilled Trades Occupations
"Motor mechanics, auto engineers",Skilled Trades Occupations
Vehicle body builders and repairers,Skilled Trades Occupations
Auto electricians,Skilled Trades Occupations
Vehicle spray painters,Skilled Trades Occupations
Electrical Trades,Skilled Trades Occupations
"Electricians, electrical fitters",Skilled Trades Occupations
Telecommunications engineers,Skilled Trades Occupations
Lines repairers and cable jointers,Skilled Trades Occupations
"TV, video and audio engineers",Skilled Trades Occupations
"Computer engineers, installation and maintenance",Skilled Trades Occupations
Electrical/electronics engineers n.e.c.,Skilled Trades Occupations
Skilled Construction And Building Trades,Skilled Trades Occupations
Construction Trades,Skilled Trades Occupations
Steel erectors,Skilled Trades Occupations
"Bricklayers, masons",Skilled Trades Occupations
"Roofers, roof tilers and slaters",Skilled Trades Occupations
"Plumbers, heating and ventilating engineers",Skilled Trades Occupations
Carpenters and joiners,Skilled Trades Occupations
"Glaziers, window fabricators and fitters",Skilled Trades Occupations
Construction trades n.e.c.,Skilled Trades Occupations
Building Trades,Skilled Trades Occupations
Plasterers,Skilled Trades Occupations
Floorers and wall tilers,Skilled Trades Occupations
Painters and decorators,Skilled Trades Occupations
"Textiles, Printing And Other Skilled Trades",Skilled Trades Occupations
Textiles And Garments Trades,Skilled Trades Occupations
Weavers and knitters,Skilled Trades Occupations
Upholsterers,Skilled Trades Occupations
Leather and related trades,Skilled Trades Occupations
Tailors and dressmakers,Skilled Trades Occupations
"Textiles, garments and related trades n.e.c.",Skilled Trades Occupations
Printing Trades,Skilled Trades Occupations
"Originators, compositors and print preparers",Skilled Trades Occupations
Printers,Skilled Trades Occupations
Bookbinders and print finishers,Skilled Trades Occupations
Screen printers,Skilled Trades Occupations
Food Preparation Trades,Skilled Trades Occupations
"Butchers, meat cutters",Skilled Trades Occupations
"Bakers, flour confectioners",Skilled Trades Occupations
"Fishmongers, poultry dressers",Skilled Trades Occupations
"Chefs, cooks",Skilled Trades Occupations
Skilled Trades n.e.c.,Skilled Trades Occupations
"Glass and ceramics makers, decorators and finishers",Skilled Trades Occupations
"Furniture makers, other craft woodworkers",Skilled Trades Occupations
Pattern makers (moulds),Skilled Trades Occupations
Musical instrument makers and tuners,Skilled Trades Occupations
"Goldsmiths, silversmiths, precious stone workers",Skilled Trades Occupations
"Floral arrangers, florists",Skilled Trades Occupations
Hand craft occupations n.e.c.,Skilled Trades Occupations
Personal Service Occupations,Personal Service Occupations
Caring Personal Service Occupations,Personal Service Occupations
Healthcare And Related Personal Services,Personal Service Occupations
Nursing auxiliaries and assistants,Personal Service Occupations
Ambulance staff (excluding paramedics),Personal Service Occupations
Dental nurses,Personal Service Occupations
Houseparents and residential wardens,Personal Service Occupations
Care assistants and home carers,Personal Service Occupations
Childcare And Related Personal Services,Personal Service Occupations
Nursery nurses,Personal Service Occupations
Childminders and related occupations,Personal Service Occupations
Playgroup leaders/assistants,Personal Service Occupations
Educational assistants,Personal Service Occupations
Animal Care Services,Personal Service Occupations
Veterinary nurses and assistants,Personal Service Occupations
Animal care occupations n.e.c.,Personal Service Occupations
Leisure And Other Personal Service Occupations,Personal Service Occupations
Leisure And Travel Service Occupations,Personal Service Occupations
Sports and leisure assistants,Personal Service Occupations
Travel agents,Personal Service Occupations
Travel and tour guides,Personal Service Occupations
Air travel assistants,Personal Service Occupations
Rail travel assistants,Personal Service Occupations
Leisure and travel service occupations n.e.c.,Personal Service Occupations
Hairdressers And Related Occupations,Personal Service Occupations
"Hairdressers, barbers",Personal Service Occupations
Beauticians and related occupations,Personal Service Occupations
Housekeeping Occupations,Personal Service Occupations
Housekeepers and related occupations,Personal Service Occupations
Caretakers,Personal Service Occupations
Personal Services Occupations n.e.c.,Personal Service Occupations
Undertakers and mortuary assistants,Personal Service Occupations
Pest control officers,Personal Service Occupations
Sales and Customer Service Occupations,Sales and Customer Service Occupations
Sales Occupations,Sales and Customer Service Occupations
Sales Assistants And Retail Cashiers,Sales and Customer Service Occupations
Sales and retail assistants,Sales and Customer Service Occupations
Retail cashiers and checkout operators,Sales and Customer Service Occupations
Telephone salespersons,Sales and Customer Service Occupations
Sales Related Occupations,Sales and Customer Service Occupations
Collector salespersons and credit agents,Sales and Customer Service Occupations
"Debt, rent and other cash collectors",Sales and Customer Service Occupations
Roundsmen/women and van salespersons,Sales and Customer Service Occupations
Market and street traders and assistants,Sales and Customer Service Occupations
Merchandisers and window dressers,Sales and Customer Service Occupations
Sales related occupations n.e.c.,Sales and Customer Service Occupations
Customer Service Occupations,Sales and Customer Service Occupations
Customer Service Occupations,Sales and Customer Service Occupations
Call centre agents/operators,Sales and Customer Service Occupations
Customer care occupations,Sales and Customer Service Occupations
"Process, Plant and Machine Operatives","Process, Plant and Machine Operatives"
"Process, Plant And Machine Operatives","Process, Plant and Machine Operatives"
Process Operatives,"Process, Plant and Machine Operatives"
"Food, drink and tobacco process operatives","Process, Plant and Machine Operatives"
Glass and ceramics process operatives,"Process, Plant and Machine Operatives"
Textile process operatives,"Process, Plant and Machine Operatives"
Chemical and related process operatives,"Process, Plant and Machine Operatives"
Rubber process operatives,"Process, Plant and Machine Operatives"
Plastics process operatives,"Process, Plant and Machine Operatives"
Metal making and treating process operatives,"Process, Plant and Machine Operatives"
Electroplaters,"Process, Plant and Machine Operatives"
Process operatives n.e.c.,"Process, Plant and Machine Operatives"
Plant And Machine Operatives,"Process, Plant and Machine Operatives"
Paper and wood machine operatives,"Process, Plant and Machine Operatives"
Coal mine operatives,"Process, Plant and Machine Operatives"
Quarry workers and related operatives,"Process, Plant and Machine Operatives"
Energy plant operatives,"Process, Plant and Machine Operatives"
Metal working machine operatives,"Process, Plant and Machine Operatives"
Water and sewerage plant operatives,"Process, Plant and Machine Operatives"
Plant and machine operatives n.e.c.,"Process, Plant and Machine Operatives"
Assemblers And Routine Operatives,"Process, Plant and Machine Operatives"
Assemblers (electrical products),"Process, Plant and Machine Operatives"
Assemblers (vehicles and metal goods),"Process, Plant and Machine Operatives"
Routine inspectors and testers,"Process, Plant and Machine Operatives"
"Weighers, graders, sorters","Process, Plant and Machine Operatives"
"Tyre, exhaust and windscreen fitters","Process, Plant and Machine Operatives"
Clothing cutters,"Process, Plant and Machine Operatives"
Sewing machinists,"Process, Plant and Machine Operatives"
Routine laboratory testers,"Process, Plant and Machine Operatives"
Assemblers and routine operatives n.e.c.,"Process, Plant and Machine Operatives"
Construction Operatives,"Process, Plant and Machine Operatives"
"Scaffolders, stagers, riggers","Process, Plant and Machine Operatives"
Road construction operatives,"Process, Plant and Machine Operatives"
Rail construction and maintenance operatives,"Process, Plant and Machine Operatives"
Construction operatives n.e.c.,"Process, Plant and Machine Operatives"
Transport And Mobile Machine Drivers And Operatives,"Process, Plant and Machine Operatives"
Transport Drivers And Operatives,"Process, Plant and Machine Operatives"
Heavy goods vehicle drivers,"Process, Plant and Machine Operatives"
Van drivers,"Process, Plant and Machine Operatives"
Bus and coach drivers,"Process, Plant and Machine Operatives"
"Taxi, cab drivers and chauffeurs","Process, Plant and Machine Operatives"
Driving instructors,"Process, Plant and Machine Operatives"
Rail transport operatives,"Process, Plant and Machine Operatives"
"Seafarers (merchant navy); barge, lighter and boat operatives","Process, Plant and Machine Operatives"
Air transport operatives,"Process, Plant and Machine Operatives"
Transport operatives n.e.c.,"Process, Plant and Machine Operatives"
Mobile Machine Drivers And Operatives,"Process, Plant and Machine Operatives"
Crane drivers,"Process, Plant and Machine Operatives"
Forklift truck drivers,"Process, Plant and Machine Operatives"
Agricultural machinery drivers,"Process, Plant and Machine Operatives"
Mobile machine drivers and operatives n.e.c.,"Process, Plant and Machine Operatives"
Elementary Occupations,Elementary Occupations
"Elementary Trades, Plant And Storage Related Occupations",Elementary Occupations
Elementary Agricultural Occupations,Elementary Occupations
Farm workers,Elementary Occupations
Forestry workers,Elementary Occupations
Fishing and agriculture related occupations n.e.c.,Elementary Occupations
Elementary Construction Occupations,Elementary Occupations
